,roles
0,SOFTWARE DEVELOPMENT MANAGER
1,SOFTWARE DEVELOPMENT ENGINEER
2,SOFTWARE DEVELOPMENT ENGINEER - AMAZON LEX
3,QUALITY ASSURANCE ENGINEER
4,SOFTWARE DEVELOPMENT ENGINEER
5,SOFTWARE DEVELOPMENT MANAGER - AMAZON CLOUD CAM
6,SOFTWARE DEVELOPMENT ENGINEER – ALEXA MACHINE LEARNING PLATFORM
7,MANAGER OF APPLICATION DEVELOPMENT AND ENGINEERING
8,PROGRAMMER ANALYST
9,SENIOR APPLIED ROBOTICS SCIENTIST
10,DEVOPS ENGINEER
11,UI DEVELOPER
12,"SR. SOFTWARE DEVELOPMENT ENGINEER, AWS LEX"
13,SDE
14,"SOFTWARE ENGINEER- MOBILE ANALYTICS, AWS PINPOINT"
15,"SOFTWARE ENGINEER- BIG DATA ANALYTICS, AWS PINPOINT"
16,"SOFTWARE ENGINEER, BIG DATA AND ANALYTICS"
17,SOFTWARE DEVELOPMENT ENGINEER - AMAZON PRIME VIDEO
18,SOFTWARE DEVELOPMENT ENGINEER - AMAZON VIDEO
19,SOFTWARE DEVELOPMENT ENGINEER - AWS EBS PERFORMANCE TEAM
20,SR. DATA ENGINEER
21,SOFTWARE DEVELOPMENT ENGINEER II - REQ576
22,SOFTWARE DEVELOPMENT ENGINEER II - REQ575
23,SOFTWARE DEVELOPMENT ENGINEER II - AMZ2560
24,SOFTWARE DEVELOPMENT ENGINEER II - AMZ1987
25,SOFTWARE DEVELOPMENT ENGINEER II - AMZ1986
26,PROGRAMMER ANALYST II - AMZ1984
27,RENDERING ENGINEER
28,SENIOR SYSTEMS QUALITY ASSURANCE ENGINEER
29,SOFTWARE DEVELOPMENT ENGINEER - API GATEWAY
30,SOFTWARE DEVELOPMENT MANAGER - AMZ1978
31,SOFTWARE DEVELOPMENT ENGINEER III - AMZ1977
32,SOFTWARE DEVELOPMENT ENGINEER IN TEST II - AMZ1976
33,SOFTWARE DEVELOPMENT ENGINEER IN TEST II - AMZ1975
34,SOFTWARE DEVELOPMENT ENGINEER II - AMZ1974
35,SOFTWARE DEVELOPMENT ENGINEER II - AMZ1973
36,SOFTWARE DEVELOPMENT ENGINEER II - AMZ1972
37,SOFTWARE DEVELOPMENT ENGINEER - AMZ1971
38,SOFTWARE DEVELOPMENT ENGINEER - AMZ1970
39,SOFTWARE DEVELOPMENT ENGINEER – PRIME AIR
40,WEB DEVELOPMENT ENGINEER - ALEXA DATA SERVICES
41,SOFTWARE DEVELOPMENT ENGINEER - PRIME AIR
42,"QUALITY ASSURANCE ENGINEER, ALEXA VOICE SERVICES, AUTOMOTIVE"
43,WEB DEVELOPMENT ENGINEER
44,SOFTWARE DEVELOPMENT ENGINEER - PRIME AIR
45,SOFTWARE DEVELOPMENT ENGINEER – IN-MEMORY DISTRIBUTED SYSTEMS
46,EMBEDDED SOFTWARE DEVELOPMENT MANAGER
47,SOFTWARE DEVELOPMENT MANAGER - ALEXA OS
48,SENIOR SOFTWARE DEVELOPMENT ENGINEER- SECURITY
49,SOFTWARE DEVELOPMENT ENGINEER II
50,"SOFTWARE DEVELOPMENT ENGINEER - AWS, NEW STORAGE SERVICE"
51,SOFTWARE DEVELOPMENT ENGINEER: REVENUE TEAM - GOODREADS
52,SR. SOFTWARE DEVELOPMENT ENGINEER
53,"SOFTWARE ENGINEER, ECS"
54,SOFTWARE DEVELOPMENT ENGINEER- SECURITY
55,"INDUSTRIAL SOFTWARE SHOWCASE CENTER INTERN, AWS"
56,"AWS DATABASE SERVICES SDE, AMAZON REDSHIFT"
